時間,地點,地點特色,預算,停留時間,備註（可以做的事情）,,今日購買清單,今日需預約事項
07:00-09:05,關西國際機場 → 從第一航廈搭接駁車至阪急三番街(大坂梅田),關西機場位於大阪灣人工島，搭乘JR Haruka特急列車直達京都站，全程約75分鐘無需換車，座位寬敞可放行李。外國旅客憑護照可購買「ICOCA & Haruka套票」，附IC儲值卡方便之後在京都刷公車地鐵。⭐必做：①取票後先將大行李寄放京都站Coin Locker（30號月台附近），只帶當天需要的小包 ②指定席旺季容易售完，建議出發前一週網路購買 ③Haruka座位右側（往京都方向）可欣賞大阪平原風景 ④抵達京都站先去觀光案內所拿地圖 ⑤確認今日公車乘車處（205或101號公車往金閣寺）,往返票(14日內有效)3300日圓/人,搭車60分鐘,早到有時間>>去車站麵包店吃早餐      要趕雅洛號>>吃超商,https://www.kate.co.jp/tcn/timetable/detail/UM,,
09:32-10:15,"搭乘""快速特快""京TRAIN雅洛號列車(第一班)",,僅憑普通車票即可搭乘,43分鐘,起站:大坂梅田(坂急) 終站:京都河原町(坂急)｜10:15到站後先存行李Coin Locker，再搭計程車至金閣寺（¥1800，比公車省30分鐘）,https://www.hankyu.co.jp/kyotrain-garaku/zh-tw/service,,
10:55-11:40,金閣寺（鹿苑寺）,足利義滿於1397年建造作為山莊，後改為禪宗寺院。現存建築為1955年重建——原建築1950年遭瘋狂僧侶縱火焚毀，此事件被三島由紀夫寫成名著《金閣寺》。建築分三層，二三層覆蓋純金箔，倒映在鏡湖池中的金光倒影是京都最具代表性的景象。11月楓葉季金閣周圍紅葉與金色建築交相輝映，是一年中最美的時刻。⭐必做：①鏡湖池正面拍攝倒影（逆光時用前景石燈籠構圖） ②繞行金閣一圈從不同角度取景 ③「陸舟之松」800年古松在出口前，必停留拍照 ④買金閣寺限定「金閣守」御守和書置き御朱印 ⑤出口處的「夕佳亭」茶室外觀精緻可拍照,門票500日圓,45分鐘,搭計程車從河原町出發（¥1800，10:15存行李後出發，比公車省30分鐘）,"御守：①金閣守500円 ②開運金札守1000円
御朱印：書置き（印刷）300円",,
12:00-12:45,北野天滿宮,947年創建，供奉平安時代大學者菅原道真，因政敵讒言被流放九州，死後怨靈引發連番天災，朝廷建社安撫，後成為全日本學問、書法、工作之神。11月底「史跡御土居之紅葉苑」限定開放，是京都最密集的楓葉私秘景點，每月25日（道真忌日）天神市是京都規模最大的骨董跳蚤市集。⭐必做：①11月底購票入紅葉苑（約1000日圓），絕對值回票價 ②撫「臥牛像」——哪裡不舒服就摸哪，再摸自己身體對應部位 ③買「合格守」（考試最靈） ④若逢25日務必逛天神市，可挖到二手和服與骨董 ⑤境內茶屋的抹茶和菓子套組，紅葉下喝茶,境內免費；紅葉苑約1000日圓,40分鐘,,"御守：①合格守500円 ②梅守800円
御朱印：通常版300円，25日天神版500円",,
13:05-13:45,龍安寺,1450年由細川勝元創建，以枯山水石庭聞名全球。石庭面積僅248平方公尺，白砂地上精心擺置15塊石頭分5組，傳說從庭院任何角度都只能看到14塊，只有「心靜」時才能見到第15塊。英女王伊麗莎白二世1975年參訪後讚不絕口，使其聲名大噪。11月楓葉覆蓋庭院石牆，是攝影絕佳時機。⭐必做：①從廊道不同位置慢慢觀賞，嘗試找到第15塊石 ②石庭背面「吾唯足知」石水缽（蹲踞）值得細看 ③境內鏡容池周圍400年銀杏與楓葉 ④不要錯過弁天島（鏡容池中小島）繞一圈 ⑤買「知足守」御守,門票600日圓,40分鐘,,"御守：知足守500円
御朱印：300円",,
13:55-14:40,仁和寺,888年宇多天皇創建，歷代天皇退位後在此出家，被稱「御室御所」，是皇室與禪宗密切連結的象徵，1994年列入世界文化遺產。以「御室桜」著名——此品種比京都其他地方晚開兩週，低矮樹形配以五重塔背景獨一無二。11月楓葉季，仁王門前紅葉與五重塔的構圖是嵐山–北野地區最值得拍攝的場景之一。⭐必做：①仁王門→金堂→五重塔軸線構圖拍照 ②御殿庭園（800日圓）賞御室桜種植地 ③五重塔背面角度拍攝11月紅葉最美 ④觀音堂、金堂建築細部值得細看 ⑤御守在售票口旁購買,境內免費；御殿庭園800日圓,45分鐘,,"御守：①厄除守500円 ②開運守500円
御朱印：300円",,
15:05-15:50,嵐山就近午餐（菜の花實際位於河原町，非嵐山）,⚠️ 原行程標注的「菜の花」地址在京都中京區御幸町（河原町附近），並非嵐山。建議到嵐山後就近選擇附近餐廳，選擇豐富：渡月橋周邊有多家京料理和蕎麥麵店，平均1000-2000日圓。⭐推薦：嵐山辨慶（嵐山站旁）、竹取亭（天龍寺附近）或直接找有楓葉景觀的露天座位餐廳。,午餐約1000-2000日圓/人,45分鐘,,,,
15:50-16:05,御髪神社,日本全國唯一以「頭髮」為主題的神社，供奉髮祖神藤原采女亮政之，是美髮師、理髮師的守護神。據說祈求頭髮健康、防止脫髮特別靈驗，吸引大量美髮從業者及擔心掉髮的人前來。境內設有頭髮塚，可奉納剪下的頭髮。⭐必做：①求「髮守り」（有黑髮和金髮版本） ②繪馬寫下頭髮願望 ③神社小巧精緻，竹林入口就在附近，連同拍照 ④旁邊小攤賣嵐山名物可順手買 ⑤御朱印設計獨特以梳子為主題,免費參拜,15分鐘,,御守：髮守り500円,,
16:10-16:25,野宮神社,《源氏物語》關鍵場景，平安時代前往伊勢神宮的齋王在此淨身三年，是宮廷文化縮影。主祭神掌管良緣與學業，另有求子特別靈驗。境內著名「龜石」據說摸了心中默念願望，一年內可實現。⭐必做：①摸龜石閉眼默念心願 ②求粉色「縁結守」 ③從神社旁的竹林入口拍嵐山竹林最美角度 ④繪馬寫下戀愛或學業心願 ⑤御朱印蓋章,免費參拜,15分鐘,,"御守：①縁結守500円 ②子授守500円
御朱印：300円",,
16:25-16:40,嵐山竹林之道,嵐山最具代表性景點，全長約400公尺的竹林步道，高達數十公尺的孟宗竹密布兩側，形成令人屏息的綠色隧道。竹林在風中搖曳的聲音被日本環境廳選為「日本音景百選」。清晨或黃昏光線最美，11月光線穿透竹葉格外夢幻。⭐必做：①盡量避開正午人潮（現在這個時間點相對好） ②從野宮神社側（南端）往北走，逆光方向拍攝 ③等行人空隙拍攝，或尋找側邊小徑 ④聆聽竹子在風中的聲音（日本音景百選） ⑤免費景點，不需門票，盡情拍,免費,15分鐘,,,,
